H,rolling_reg_revenue_total,rolling_da_energy_total,rolling_degradation_total,rolling_deviation_cost_total,rolling_market_profit,rolling_profit_with_deviation_cost,rolling_num_soc_violations,rolling_total_baseline_deviation_MWh,perfect_reg_revenue_total,perfect_da_energy_total,perfect_degradation_total,perfect_deviation_cost_total,perfect_market_profit,perfect_profit_with_deviation_cost,perfect_num_soc_violations,perfect_total_baseline_deviation_MWh
1,354.9275691839246,3.517041129707044,66.93125042470254,-17.272469843951697,291.51335988892913,308.7858297328808,0,1.549374305916832,1392.8202357281903,3.517041129707044,175.09704332144682,0.0020980236596366275,1221.2402335364504,1221.238135512791,0,0.21094128506762938
2,1174.816471320417,3.517041129707044,158.35808295909612,15.020889499604323,1019.9754294910277,1004.9545399914234,0,1.9807053356926962,1392.8202357281903,3.517041129707044,175.09704332144682,0.0020980236596366275,1221.2402335364504,1221.238135512791,0,0.21094128506762938
3,1312.0800123006572,3.517041129707044,171.196528321774,19.4431959406633,1144.4005251085903,1124.957329167927,0,1.9104870089141686,1392.8202357281903,3.517041129707044,175.09704332144682,0.0020980236596366275,1221.2402335364504,1221.238135512791,0,0.21094128506762938
4,1352.9915010911798,3.517041129707044,169.59374220800046,13.636906650909786,1186.9148000128862,1173.2778933619763,0,1.4359796904052027,1392.8202357281903,3.517041129707044,175.09704332144682,0.0020980236596366275,1221.2402335364504,1221.238135512791,0,0.21094128506762938
6,1372.282647317973,3.517041129707044,170.12571854813896,12.103469159412716,1205.673969899541,1193.5705007401282,0,1.3095499090993838,1392.8202357281903,3.517041129707044,175.09704332144682,0.0020980236596366275,1221.2402335364504,1221.238135512791,0,0.21094128506762938
8,1379.9299830143714,3.517041129707044,169.91988571532733,11.002112792741361,1213.527138428751,1202.5250256360096,0,1.1254064259998784,1392.8202357281903,3.517041129707044,175.09704332144682,0.0020980236596366275,1221.2402335364504,1221.238135512791,0,0.21094128506762938
12,1384.0184654217596,3.517041129707044,168.82852530229576,8.185363602579592,1218.706981249171,1210.5216176465913,0,0.9304985670651863,1392.8202357281903,3.517041129707044,175.09704332144682,0.0020980236596366275,1221.2402335364504,1221.238135512791,0,0.21094128506762938
24,1392.8202357281903,3.517041129707044,175.09704332144682,0.0020980236596268576,1221.2402335364504,1221.238135512791,0,0.21094128506762858,1392.8202357281903,3.517041129707044,175.09704332144682,0.0020980236596366275,1221.2402335364504,1221.238135512791,0,0.21094128506762938
